French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
car,because
eux,them
ville,city
parlé,speak
heures,hours
aucune,any
place,square
compris,understood
savais,knew
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
